tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2025.04.28 - 2025.05.04,2344.0,2.0,5.0,1171.88,7.6,29.13,0.0,29.13,10.8,78.04
2025.05.05 - 2025.05.11,2344.0,2.0,5.0,1171.88,6.72,27.06,0.0,27.06,10.86,78.51
2025.05.12 - 2025.05.18,3516.0,3.0,4.67,1171.88,11.43,30.49,0.0,30.49,11.68,75.05
2025.05.19 - 2025.05.25,1172.0,1.0,5.0,1171.88,10.19,23.73,0.0,23.73,13.23,68.52
2025.05.26 - 2025.06.01,5860.0,5.0,4.83,1171.88,13.96,0.06,0.0,0.06,9.24,59.33
2025.06.02 - 2025.06.08,0.0,0.0,,1171.88,12.16,25.31,0.0,25.31,12.26,74.24
2025.06.09 - 2025.06.15,4688.0,4.0,5.0,1171.88,14.03,14.79,0.0,14.79,9.97,66.84
2025.06.16 - 2025.06.22,8204.0,7.0,4.93,1171.88,15.22,2.7,0.0,2.7,11.64,67.36
2025.06.23 - 2025.06.29,8204.0,7.0,4.88,1171.88,14.22,1.19,0.0,1.19,11.32,60.62
2025.06.30 - 2025.07.06,11720.0,10.0,4.55,1171.88,15.55,13.89,0.0,13.89,12.77,58.41
2025.07.07 - 2025.07.13,7032.0,6.0,4.6,1171.88,14.34,14.09,0.0,14.09,13.45,70.06
2025.07.14 - 2025.07.20,9376.0,8.0,5.0,1171.88,20.66,0.0,0.0,0.0,11.52,58.29
2025.07.21 - 2025.07.27,11720.0,10.0,4.36,1171.88,19.93,2.23,0.0,2.23,12.72,61.85
2025.07.28 - 2025.08.03,14064.0,12.0,4.94,1171.88,21.17,0.31,0.0,0.31,11.48,59.05
2025.08.04 - 2025.08.10,15236.0,13.0,4.86,1171.88,21.81,16.03,0.0,16.03,14.39,66.68
2025.08.11 - 2025.08.17,17579.0,15.0,4.66,1171.88,20.42,7.7,0.0,7.7,13.75,65.8
2025.08.18 - 2025.08.24,18752.0,16.0,4.61,1171.88,18.84,0.0,0.0,0.0,10.9,56.45
2025.08.25 - 2025.08.31,22267.0,19.0,4.86,1171.88,19.07,15.73,0.0,15.73,13.27,61.54
2025.09.01 - 2025.09.07,12892.0,11.0,4.92,1171.88,17.31,1.93,0.0,1.93,11.18,66.81
2025.09.08 - 2025.09.14,11720.0,10.0,4.83,1171.88,16.89,25.58,0.0,25.58,11.63,76.73
2025.09.15 - 2025.09.21,3516.0,3.0,4.67,1171.88,14.63,1.76,0.0,1.76,11.1,69.62
2025.09.22 - 2025.09.28,4688.0,4.0,5.0,1171.88,11.88,26.05,0.0,26.05,16.01,72.45
2025.09.29 - 2025.10.05,3516.0,3.0,5.0,1171.88,12.08,1.41,0.0,1.41,11.69,65.07
2025.10.06 - 2025.10.12,2344.0,2.0,4.5,1171.88,11.91,25.69,0.0,25.69,10.99,74.7
2025.10.13 - 2025.10.19,3516.0,3.0,4.0,1171.88,9.66,27.27,0.0,27.27,11.66,72.48
2025.10.20 - 2025.10.26,3516.0,3.0,4.67,1171.88,8.22,11.04,0.0,11.04,9.53,73.3
2025.10.27 - 2025.11.02,2344.0,2.0,5.0,1171.88,9.94,8.54,0.0,8.54,11.94,72.92
2025.11.03 - 2025.11.09,8204.0,7.0,4.88,1171.88,7.55,19.5,0.0,19.5,10.62,69.92
2025.11.10 - 2025.11.16,11720.0,10.0,4.7,1171.88,8.61,0.09,0.0,0.09,9.38,67.69
2025.11.17 - 2025.11.23,17580.0,15.0,4.62,1171.88,5.45,74.47,0.0,74.47,11.69,83.0
2025.11.24 - 2025.11.30,9376.0,8.0,4.7,1171.88,6.99,0.0,0.0,0.0,13.15,62.15
2025.12.01 - 2025.12.07,9376.0,8.0,5.0,1171.88,5.59,4.88,0.0,4.88,12.07,71.99
2025.12.08 - 2025.12.14,3516.0,3.0,5.0,1171.88,4.03,7.99,0.0,7.99,12.71,76.37
2025.12.15 - 2025.12.21,1172.0,1.0,5.0,1171.88,2.26,40.73,12.63,28.1,10.98,86.53
2025.12.22 - 2025.12.28,2344.0,2.0,5.0,1171.88,-0.43,12.5,12.5,0.0,9.52,76.76
2025.12.29 - 2026.01.04,0.0,0.0,,1171.88,-0.81,21.58,21.18,0.4,13.09,82.74
2026.01.05 - 2026.01.11,0.0,0.0,,1171.88,-2.9,12.44,12.44,0.0,24.02,69.82
