tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2025.10.13 - 2025.10.19,3363.0,11.0,4.57,305.71,9.38,32.87,0.0,32.87,11.46,70.68
2025.10.20 - 2025.10.26,4585.0,15.0,4.92,305.71,7.6,22.11,0.0,22.11,9.26,74.84
2025.10.27 - 2025.11.02,2445.0,8.0,5.0,305.71,9.26,9.86,0.0,9.86,10.28,70.95
2025.11.03 - 2025.11.09,2446.0,8.0,4.53,305.71,7.26,23.01,0.0,23.01,10.57,65.42
2025.11.10 - 2025.11.16,1529.0,5.0,4.5,305.71,7.68,0.25,0.0,0.25,7.64,72.59
2025.11.17 - 2025.11.23,612.0,2.0,5.0,305.71,6.28,42.46,0.0,42.46,9.57,76.41
2025.11.24 - 2025.11.30,917.0,3.0,5.0,305.71,7.6,0.0,0.0,0.0,8.13,46.09
2025.12.01 - 2025.12.07,306.0,1.0,5.0,305.71,5.81,4.33,0.0,4.33,7.39,63.56
2025.12.08 - 2025.12.14,611.0,2.0,5.0,305.71,4.08,3.54,0.0,3.54,8.28,69.35
2025.12.15 - 2025.12.21,918.0,3.0,5.0,305.71,1.76,51.42,31.23,20.19,9.59,81.86
2025.12.22 - 2025.12.28,0.0,0.0,,305.71,0.29,9.94,9.94,0.0,8.23,68.06
2025.12.29 - 2026.01.04,0.0,0.0,,305.71,-0.73,35.31,32.81,2.5,11.24,74.59
2026.01.05 - 2026.01.11,0.0,0.0,,305.71,-1.69,4.5,4.5,0.0,19.66,54.4
